Quantity,DNN,QBD,Simul,S(2025),W(1993),B(2024),rho,ServerNumber
q_0,1.0,0.73,0.731,0.727,0.741,0.73,0.27,1
E[q_w],0.0,0.019,0.018,0.009,0.042,0.0,0.27,1
E[W],0.0,0.07,0.065,0.035,0.155,0.001,0.27,1
MSE,0.0,0.0,0.0,0.0,0.0,0.0,0.27,1
q_0,1.0,0.34,0.337,0.344,0.45,0.34,0.66,1
E[q_w],0.0,0.067,0.061,0.077,0.167,0.068,0.66,1
E[W],0.0,0.101,0.093,0.117,0.253,0.103,0.66,1
MSE,0.002,0.0,0.0,0.0,0.0,0.0,0.66,1
q_0,1.0,0.05,0.052,0.059,0.492,0.05,0.95,1
E[q_w],0.0,9.674,11.931,8.779,5.2,9.678,0.95,1
E[W],0.0,10.183,12.559,9.241,5.474,10.187,0.95,1
MSE,0.002,0.0,0.0,0.0,0.0,0.0,0.95,1
