Quantity,DNN,QBD,Simul,S(2025),W(1993),rho,ServerNumber
q_0,0.726,0.73,0.726,0.729,0.754,0.27,1
E[q_w],0.162,0.117,0.12,0.133,0.117,0.27,1
E[W],0.6,0.435,0.445,0.494,0.434,0.27,1
MSE,0.0,0.0,0.0,0.0,0.0,0.27,1
q_0,0.337,0.34,0.361,0.34,0.539,0.66,1
E[q_w],1.204,1.127,1.041,1.154,0.783,0.66,1
E[W],1.824,1.708,1.578,1.749,1.186,0.66,1
MSE,0.0,0.0,0.0,0.0,0.0,0.66,1
q_0,0.041,0.05,0.067,0.057,0.5,0.95,1
E[q_w],21.815,16.702,10.902,14.77,8.781,0.95,1
E[W],22.963,17.581,11.476,15.547,9.243,0.95,1
MSE,0.0,0.0,0.0,0.0,0.0,0.95,1
