Quantity,DNN,QBD,Simul,S(2025),W(1993),rho,ServerNumber
q_0,0.522,0.518,0.515,0.519,0.566,0.27,2
E[q_w],0.004,0.003,0.003,0.005,0.01,0.27,2
E[W],0.008,0.006,0.006,0.008,0.018,0.27,2
MSE,0.0,0.0,0.0,0.0,0.0,0.27,2
q_0,0.149,0.149,0.154,0.151,0.313,0.66,2
E[q_w],0.271,0.249,0.217,0.251,0.251,0.66,2
E[W],0.205,0.189,0.164,0.19,0.19,0.66,2
MSE,0.0,0.0,0.0,0.0,0.0,0.66,2
q_0,0.022,0.019,0.022,0.02,0.438,0.95,2
E[q_w],7.658,8.484,7.804,8.224,4.605,0.95,2
E[W],4.031,4.465,4.107,4.329,2.424,0.95,2
MSE,0.0,0.0,0.0,0.0,0.0,0.95,2
