Quantity,DNN,QBD,Simul,S(2025),W(1993),rho,ServerNumber
q_0,1.0,0.569,0.578,0.57,0.584,0.27,2
E[q_w],0.0,0.031,0.031,0.033,0.035,0.27,2
E[W],0.0,0.058,0.057,0.061,0.065,0.27,2
MSE,0.001,0.0,0.0,0.0,0.0,0.27,2
q_0,1.0,0.199,0.225,0.198,0.365,0.66,2
E[q_w],0.0,0.859,0.689,0.871,0.646,0.66,2
E[W],0.0,0.651,0.522,0.66,0.49,0.66,2
MSE,0.002,0.0,0.0,0.0,0.0,0.66,2
q_0,1.0,0.025,0.029,0.025,0.46,0.95,2
E[q_w],0.0,16.609,10.862,16.184,8.844,0.95,2
E[W],0.0,8.742,5.717,8.518,4.655,0.95,2
MSE,0.002,0.0,0.0,0.0,0.0,0.95,2
