x,pdf_0,pdf_1,pdf_2,pdf_3,pdf_4,pdf_5,pdf_6,pdf_7,pdf_8,pdf_9,pdf_0,pdf_1,pdf_2,pdf_3,pdf_4,pdf_5,pdf_6,pdf_7,pdf_8,pdf_9,pdf_0,pdf_1,pdf_2,pdf_3,pdf_4,pdf_5,pdf_6,pdf_7,pdf_8,pdf_9,pdf_0,pdf_1,pdf_2,pdf_3,pdf_4,pdf_5,pdf_6,pdf_7,pdf_8,pdf_9,pdf_0,pdf_1,pdf_2,pdf_3,pdf_4,pdf_5,pdf_6,pdf_7,pdf_8,pdf_9,pdf_0,pdf_1,pdf_2,pdf_3,pdf_4,pdf_5,pdf_6,pdf_7,pdf_8,pdf_9,pdf_0,pdf_1,pdf_2,pdf_3,pdf_4,pdf_5,pdf_6,pdf_7,pdf_8,pdf_9,pdf_0,pdf_1,pdf_2,pdf_3,pdf_4,pdf_5,pdf_6,pdf_7,pdf_8,pdf_9,pdf_0,pdf_1,pdf_2,pdf_3,pdf_4,pdf_5,pdf_6,pdf_7,pdf_8,pdf_9,pdf_0,pdf_1,pdf_2,pdf_3,pdf_4,pdf_5,pdf_6,pdf_7,pdf_8,pdf_9
0.0,0.0,3.869871025324189,0.0,1.9943098824973904,0.0,0.0,0.0,1.5352217569038993,0.0,1.6413634737292713,1.0,0.0,0.0,1.146173454123606,0.0,1.378158505892396,1.416614409849608,5.38434362079,0.0,0.0,0.0,107.54889393040862,1.2804003441157537,0.7503867648056729,1.0,0.0,0.0,0.2108903498556036,0.267983683316338,1.7163166272725532,0.0,0.0,0.0,0.0,0.0,2.2940370020158856,0.0,0.5646010340365376,7.784972242715353,0.8461566288442435,0.1121339389554895,0.0,1.6630080383369104,0.6099404026085421,1.3098902825491765,1.059106649062047,0.0,0.0,0.4582459230122625,10.007571104795357,1.6807300058886971,0.0,0.799561551833786,0.0,0.4790547687841292,1.2239329149628957,1.0,0.1960539146793557,0.0,0.0081892587303037,1.2136902885849814,235.6441553711888,0.0,0.0,1.86012495996078,3.893945602817969,0.0,0.0,0.9604014194529656,1.2970179545355869,0.8425518067887628,0.0,1.545079196292447,0.0,0.0,0.0,0.0,0.9443316239260356,0.8708124878554093,1.1947730874578195,0.0,1.2515820828228783,10.803866060129996,5.380887411303642,56.04527789916164,0.0,0.4008282257894526,1.0,0.0,0.0,0.0,3.704421559715783,1.0,0.3768678090132218,0.0,0.6787443256815939,0.0,0.0,1.3381886503471714,1.045403254783985
0.01,1.066481116093093e-09,3.2266588380767947,7.041768559960749e-16,1.9290996805713103,0.0002892398504441,2.49352553173276e-14,4.099368273716584e-05,1.2535553304734257,4.760594428899462e-07,1.532595128364474,0.990049833749168,4.346601895576567e-07,1.7801503948660738e-08,1.1300329804923888,1.981463545939521e-17,1.3547227400735935,1.356683293864957,3.5422443496882488,1.551356438673529e-20,0.3424913542103564,1.066481116093093e-09,0.9852175723423784,1.2507657971719188,0.7431283971292102,0.990049833749168,1.0664811160930856e-09,5.552240918858492e-19,0.2099241026707204,0.4228850573917057,1.0742144249046006,1.7658307301657587e-05,1.066481116093093e-09,0.1176346202775086,2.6113019924956784e-13,1.551356438673529e-20,2.082625326213926,1.9814635459396546e-17,0.5603745242157496,5.827860080998635,0.8384087966607751,0.1111988568302006,7.189494516941457e-06,1.4971688940190586,0.7636867940283071,1.308181229859119,1.0472983023541989,0.0392079469322701,1.0664811160930947e-09,0.4546682188252859,9.519730236604534,1.5639849185010883,0.0034626995969269,1.4646183197142757,3.0728814345508735e-11,0.4745691890883884,1.2005636541068043,0.990049833749168,0.1951877466525733,0.0151049453746253,0.0138872372128917,0.9840126036177992,6.437729142573498,1.489930435482087e-09,1.5513564386735292e-20,1.680062250591043,3.564941763867721,3.155809452880673e-07,1.1267272935167702e-26,0.95280563150989,1.2542871004592402,0.8348533577716574,1.9814635459396186e-17,1.501804942286726,7.041768559960749e-16,8.781635035230668e-13,0.0141007278289078,1.0664811160930856e-09,0.9255144152032688,0.8557762378768758,1.1608544375117118,0.0007460233157438,1.2331259628989355,8.289633258820578,3.448868629836106,25.93707766818856,0.0106231978835061,15.574761907122284,0.990049833749168,0.0195126823307476,2.9090098220459177,3.039144806000243e-08,3.3533219863701897,0.990049833749168,0.3710946173780237,4.099368273716584e-05,0.6698913273508834,1.981463545939483e-17,1.9814635459396278e-17,1.3113075476687408,1.0221951337163255
0.02,6.364034571155925e-08,2.70243012334676,6.461177530779069e-13,1.8663650492823851,0.0011334657433526,1.1551756657415678e-11,0.0003150903795666,1.1082118885010337,9.51684153535724e-07,1.4384760244048873,0.9801986733067553,1.2036127086379216e-05,5.396595654487992e-07,1.1141800915919804,3.5984752601048085e-14,1.3317261845643689,1.30269931014415,2.7892873119402504,1.1048434528240176e-16,0.6296907802079225,6.364034571155925e-08,0.9618165638724596,1.222303503041747,0.7359420888208412,0.9801986733067553,6.364034571155912e-08,1.9969621893848317e-15,0.2089622825903629,0.5398106845254386,0.9582100346355492,6.991843393384939e-05,6.364034571155925e-08,0.225322783819222,3.1892398747705055e-11,1.1048434528240176e-16,1.899144848494474,3.5984752601038675e-14,0.5561796533474047,4.409853829665004,0.8307319074936427,0.1102715723314881,5.591818692734288e-05,1.4296368183652362,0.8280018683266407,1.2837451483115951,1.0356284420734652,0.0768631551321858,6.364034571155916e-08,0.4511184471671076,5.406392328800338,1.4630940386855749,0.0068642178683001,1.9617913016095048,3.630882643947833e-09,0.4701306702605675,1.177952682619669,0.9801986733067553,0.1943254053642258,0.031238801883187,0.019463403207106,0.8948853867008167,0.1025938689344434,2.9796618388535074e-09,1.1048434528240177e-16,1.500585892420336,3.2637358289469804,4.840103207068034e-06,1.1379650579329537e-23,0.945198487656608,1.1999163402261688,0.8272252499689335,3.598475260104116e-14,1.4602052974934068,6.461177530779069e-13,2.0546082142983958e-10,0.0277946605871939,6.364034571155912e-08,0.9071317614508216,0.8410010561678576,1.1295917741712356,0.0029074058850971,1.2128429136874317,6.3605027296050585,2.354248547287693,12.003366263680569,0.0702807271427767,1.8765570708418835,0.9801986733067553,0.0695037236989915,3.3660162507172906,6.080891446252962e-07,3.040254059529812,0.9801986733067553,0.3654098701077053,0.0003150903795666,0.661200268353831,3.59847526010458e-14,3.5984752601044936e-14,1.285129002414249,1.002641284652125
0.03,6.758953689500128e-07,2.275741664340166,3.3377351297174575e-11,1.80600925340292,0.002498510601243,4.018277403156567e-10,0.0010217323430981,1.0301253788226354,1.4268744296818596e-06,1.3567585003563825,0.9704455335485082,7.909153291490032e-05,3.882302580940003e-06,1.0986086479747033,2.760622735983844e-12,1.309160316812115,1.2538876897602074,2.34984919237801,1.8693273129886284e-14,0.8682931050010526,6.758953689500155e-07,0.9399943107931434,1.1949579736537927,0.7288271165690596,0.9704455335485082,6.758953689500105e-07,2.275131538340184e-13,0.2080048693306383,0.6256235559556229,0.9326690662795876,0.0001557244625796,6.758953689500128e-07,0.3237097904386755,5.199314701496025e-10,1.8693273129886284e-14,1.739782761603923,2.760622735983732e-12,0.5520161845875456,3.3810985811882523,0.8231253117532006,0.109352020435203,0.0001834812103935,1.3884152065702569,0.8595379299631258,1.2498685390790043,1.0240953762867997,0.1130117440301097,6.758953689500165e-07,0.4475963900002608,4.053577984607696,1.375244151665628,0.0102053655589932,2.327974338713672,5.7267400096892874e-08,0.4657386916160074,1.1560653742588636,0.9704455335485082,0.1934668739077471,0.048183778459508,0.0249197024202953,0.8645992943337536,0.0013909877876036,4.469194230055014e-09,1.8693273129886552e-14,1.342172275845019,2.9879791223293566,2.3500301823225936e-05,6.472238519452407e-22,0.9375841461917253,1.1468465834905115,0.8196668406684775,2.760622735983944e-12,1.4202094775086709,3.3377351297174575e-11,4.8125204630282865e-09,0.0412892533281316,6.758953689500105e-07,0.8892840935656849,0.826485891642098,1.1007163395742898,0.0063735508680466,1.191318280333709,4.8803117954907,1.7298458704795403,5.555012925029523,0.1971151898910833,0.5010734062005777,0.9704455335485082,0.1392584955526446,2.9211258719975417,3.6296685484799306e-06,2.761063197546318,0.970445533548508,0.3598122389383595,0.0010217323430981,0.6527105586264464,2.760622735983821e-12,2.7606227359843745e-12,1.2596335523315951,0.9857457487618632
0.04,3.540880553470119e-06,1.928970333385155,5.309661526786379e-10,1.747939356770298,0.0043515998098139,4.842382559496659e-09,0.002326920639737,0.9862753468694316,1.9016305688916136e-06,1.2855557194826683,0.9607894391523232,0.0002884102042915,1.549873560817064e-05,1.08331265587198,5.797193383085747e-11,1.2870167815307163,1.2095923010975185,2.039456103748308,6.840489185404466e-13,1.064272708763451,3.54088055347012e-06,0.9196211111133228,1.168676422494093,0.7217827643558095,0.9607894391523232,3.5408805534701083e-06,6.306862768415048e-12,0.2070518427005893,0.686085028311679,0.9232868060738146,0.0002740418839009,3.540880553470119e-06,0.4134030928877956,3.716527685355121e-09,6.840489185404466e-13,1.6012522895639494,5.7971933830849216e-11,0.5478838828651895,2.633541839523448,0.8155883657977693,0.1084401366595345,0.0004228365726836,1.3547335467854191,0.8751712681364526,1.2129908232436375,1.0126974343715165,0.1476986154218616,3.540880553470126e-06,0.4441018319374809,4.027167963751275,1.298348673397542,0.0134869438640197,2.5915034631577862,3.9603636396893177e-07,0.4613927383589442,1.1348689976546245,0.9607894391523232,0.1926121354512643,0.0657557274184005,0.0302580529505669,0.8578663091212462,2.127514916076933e-05,5.9585276290255855e-09,6.840489185404467e-13,1.211097542937811,2.7355214123548697,7.130640805791347e-05,1.1335939577644123e-20,0.92996651849012,1.099737869952692,0.8121774930306768,5.7971933830854974e-11,1.3817497458990862,5.309661526786379e-10,4.3933517759256276e-08,0.0547534121279438,3.5408805534701083e-06,0.8721122016428751,0.8122315922012717,1.0739873624399074,0.0110395711421778,1.16901577716983,3.7445850168973367,1.3698806420493972,2.570792889334957,0.3886374144208992,0.3970196281053043,0.9607894391523232,0.2204602446745317,2.2533893068532964,1.3022060883784168e-05,2.5120486152077346,0.9607894391523232,0.3543004552726375,0.002326920639737,0.6444562205920684,5.7971933830849455e-11,5.7971933830855245e-11,1.2348022602029658,0.9708324581462724
0.05,1.2594204502412991e-05,1.647634916398398,4.429906727579354e-09,1.69206607295908,0.0066613040094987,3.2645232439132075e-08,0.0043665640164159,0.9602750028075472,2.375952868547086e-06,1.223282241556258,0.951229424500714,0.0007616363245336,4.480841075491658e-05,1.068286263543088,5.985667564762445e-10,1.2652873874058417,1.1692549000918475,1.8020774085218343,1.0817230960090544e-11,1.222956259672394,1.259420450241297e-05,0.9005838669840565,1.1434086336130236,0.7148083233828046,0.951229424500714,1.2594204502412966e-05,8.058890496761337e-11,0.2061031826017687,0.7260205965989438,0.917025718142654,0.0004238572351553,1.2594204502412991e-05,0.4949744283148477,1.690937573355191e-08,1.0817230960090544e-11,1.4807192407436465,5.9856675647628e-10,0.5437825148690564,2.0892503517271965,0.8081204318791736,0.1075358570605372,0.0008029108389167,1.3236822072567385,0.8823488733294188,1.1761566865850908,1.0014329667410915,0.1809674836071918,1.2594204502412973e-05,0.4406345682457527,4.242534177611081,1.230791399160348,0.0167097445339909,2.774229475019437,1.7432577197279066e-06,0.4570923015153304,1.114332601887029,0.951229424500714,0.1917611732372681,0.0838082321475009,0.0354803456540234,0.8596261407127033,8.844826082980159e-06,7.447662055702424e-09,1.0817230960098359e-11,1.1068370742205529,2.5043941479435574,0.0001674011091771,1.0412997285007812e-19,0.9223492828512586,1.059580974047018,0.8047565760347621,5.985667564762843e-10,1.3447612824767647,4.429906727579354e-09,2.3932583305024455e-07,0.0683222075701368,1.2594204502412966e-05,0.8557763284839366,0.7982405481939447,1.0491891357714758,0.0168060442063067,1.1463006505459916,2.8731600636207526,1.1589724683164222,1.1897319090364649,0.6315735191758689,0.3877261857681047,0.951229424500714,0.3067477873185316,1.6296851395817935,3.514514734505365e-05,2.289913773293658,0.951229424500714,0.3488733244883315,0.0043665640164159,0.6364663200229557,5.985667564762412e-10,5.985667564762413e-10,1.2106167002917196,0.9574225742885218
0.06,3.506368883167681e-05,1.4198382243032042,2.457166861810649e-08,1.638303621823516,0.0093974933264661,1.5241283150954868e-07,0.0072495623675893,0.9435581176581126,2.8498416258493194e-06,1.1686045324021,0.9417645335842488,0.0016399887068755,0.0001056279806232,1.0535237577180605,3.944490930144052e-09,1.2439641038652105,1.1323983674837663,1.6137539618797665,1.0061693276158657e-10,1.3490883988314697,3.5063688831676967e-05,0.8827735224315514,1.119106836928356,0.7079030919985961,0.9417645335842488,3.506368883167685e-05,6.309456122918313e-10,0.2051588690278153,0.7494617204221683,0.9113844244074316,0.0006041777443011,3.506368883167681e-05,0.5689618307192642,5.781178885757415e-08,1.0061693276158657e-10,1.3757389615881586,3.9444909301437525e-09,0.5397118490343953,1.6919956919269767,0.8007208780887788,0.1066391182276953,0.0013488877064277,1.2939616526349924,0.8848449671830071,1.1407353521135322,0.99030034457454,0.2128609048121176,3.506368883167691e-05,0.4371944447324942,4.293413741342776,1.1712731638425844,0.019874549979457,2.8930878272104734,5.766160953223452e-06,0.4528368778664227,1.094426909326674,0.9417645335842488,0.1909139705822839,0.1022351658367531,0.0405884445073094,0.8635968380110725,1.4790424262838188e-05,8.936597530020954e-09,1.0061693276156135e-10,1.0260145955918918,2.2927951138620246,0.0003345078198773,6.359289569090756e-19,0.9147358975341726,1.0258754992208536,0.7974034644256416,3.944490930143972e-09,1.3091820572713329,2.457166861810649e-08,9.40487536017694e-07,0.0821011201090936,3.506368883167685e-05,0.8404403419832751,0.7845163740538365,1.0261283997776904,0.0235787765446494,1.123458523560722,2.204529664604117,1.0323804947850994,0.5505935836029138,0.9082068116127447,0.3846699412955126,0.9417645335842488,0.3933463241584721,1.131527423335927,7.900155042141146e-05,2.091722237600398,0.9417645335842486,0.3435297372674858,0.0072495623675893,0.628765369639032,3.944490930144411e-09,3.944490930144171e-09,1.1870589451248152,0.9451651260132684
0.07,8.243995150241245e-05,1.2358081608054114,1.0283244286689288e-07,1.5865695916796778,0.0125312930021176,5.522213456562953e-07,0.0110606431282907,0.9315272169214056,3.323297137818402e-06,1.12039973483715,0.9323938199059484,0.0030673391940535,0.0002162848657453,1.0390195601322678,1.906734874296798e-08,1.2230390579125472,1.0986131229183431,1.4610108966022586,6.4890050521898e-10,1.4468910393834662,8.243995150241256e-05,0.8660867387167582,1.0957255895244298,0.7010663756263743,0.9323938199059484,8.24399515024123e-05,3.52285783313723e-09,0.204218882064032,0.7597670676189965,0.9057681465841948,0.0008140309795135,8.243995150241245e-05,0.6358715311151902,1.6227964401891808e-07,6.4890050521898e-10,1.2842021942044284,1.9067348742971465e-08,0.535671655529911,1.4011935125711972,0.7933890783040213,0.1057498572795226,0.00208248030707,1.265213101818082,0.884647459228967,1.1072759718607852,0.9792979595493272,0.2434203059116655,8.24399515024124e-05,0.4337814920330053,4.109864160778895,1.1187187214625616,0.0229821333741403,2.9612850509562447,1.5659241780659886e-05,0.4486259698831329,1.075124215268009,0.9323938199059484,0.1900705108765448,0.1209709495420933,0.0455841869655275,0.8672798050275665,2.322187275667239e-05,1.042533407191483e-08,6.489005052189267e-10,0.9644215337677232,2.0990743851897604,0.0005987872837447,2.9302116838809727e-18,0.9071296130291162,0.997628448070774,0.7901175386612178,1.9067348742968722e-08,1.2749527099523124,1.0283244286689288e-07,2.9501279897980267e-06,0.0961698583177373,8.24399515024123e-05,0.8262600732214149,0.7710636249910149,1.0046319981321912,0.0312685771108553,1.100710725364059,1.6915002767336949,0.9537373671985032,0.2548081140650822,1.200279085845474,0.3820131872603293,0.9323938199059484,0.4767601223930195,0.7639070382034676,0.0001562907265709,1.914858356931674,0.9323938199059482,0.3382686782597081,0.0110606431282907,0.6213737069475977,1.906734874297097e-08,1.906734874297096e-08,1.1641115526027734,0.9337965920673288
0.08,0.0001712729569759,1.0875201983311964,3.501686240850075e-07,1.5367848069055097,0.0160350403812401,1.6619244016872438e-06,0.0158629677645538,0.921710072738812,3.796319701293568e-06,1.0777213087419335,0.9231163463866358,0.0051749786193114,0.0003994837079132,1.024768224150284,7.346599905103768e-08,1.2025045310239693,1.0675460752929122,1.3351065353062717,3.200900647116117e-09,1.5201168826582252,0.0001712729569759,0.8504267490467866,1.073221662661542,0.694297486692501,0.9231163463866358,0.0001712729569759,1.5358195735093143e-08,0.2032832018869662,0.7597260771900171,0.8999859485351975,0.0010524645040339,0.0001712729569759,0.6961797517291324,3.9430091626337147e-07,3.200900647116117e-09,1.2042885603572482,7.346599905103924e-08,0.5316617062447874,1.1875376403292015,0.7861244121354272,0.1048680118591981,0.003022188035039,1.2373234052133977,0.8828210145975623,1.0759324903464502,0.9684242235777628,0.2726860124691874,0.0001712729569759,0.4303962681659363,3.7455269787296928,1.0722189315082091,0.0260332587570746,2.989193494658089,3.681042231577944e-05,0.4444590856611281,1.0563982939150314,0.9231163463866358,0.189230777583666,0.1399884168939931,0.050469384315581,0.8697868363011849,3.4277516140384654e-05,1.1913871701315924e-08,3.2009006471161173e-09,0.9179784593634448,1.921721471350505,0.0009900590179266,1.0986084002222508e-17,0.8995334836127509,0.973788185629418,0.7828981848601887,7.346599905104128e-08,1.2420164344661524,3.501686240850075e-07,7.846752067229855e-06,0.1105857877267645,0.0001712729569759,0.8133750452474016,0.7578875458275027,0.9845447790224812,0.0397910396029098,1.0782267582220149,1.2978610510871946,0.9025791612707336,0.1179222177750018,1.4912237829568196,0.3793968709431727,0.9231163463866358,0.5545174591085201,0.5053150360151253,0.0002813393796845,1.7569922340078974,0.9231163463866356,0.3330892323689073,0.0158629677645538,0.6143078477521148,7.34659990510356e-08,7.34659990510437e-08,1.1417575534293316,0.923116246149315
0.09,0.0003237451840656,0.9683868256305214,1.01866189575e-06,1.488873200745796,0.0198822432200545,4.3406474975037765e-06,0.0217005244461133,0.9128033616568492,4.268909612933307e-06,1.0397703838631025,0.9139311852712282,0.008069715404841,0.0006819851066346,1.0107644314766917,2.3803937314187257e-07,1.1823529561055726,1.038891602310819,1.229981192649794,1.2866302521477569e-08,1.5720976985011652,0.0003237451840656,0.8357036930806928,1.0515539342231868,0.6875957445557663,0.9139311852712282,0.0003237451840656,5.5425827443769214e-08,0.202351808763991,0.7516473437475035,0.8939663140801892,0.0013185455362787,0.0003237451840656,0.7503344001934553,8.580558458883046e-07,1.2866302521477569e-08,1.1344265809890606,2.380393731418299e-07,0.5276817747758077,1.0298546788737806,0.7789262648741188,0.1039935201302378,0.0041835386626178,1.210244012397572,0.8799457319554531,1.046674026170094,0.9576775685468368,0.3006972761080577,0.0003237451840656,0.427040570018965,3.280990285946224,1.03099372506052,0.0290286811336599,2.985024834813629,7.749878584918435e-05,0.440335738856674,1.0382243103077815,0.9139311852712282,0.1883947542403209,0.1592945862026401,0.0552458220249999,0.8708990151808894,4.8261806893977786e-05,1.3402210438154342e-08,1.286630252147757e-08,0.883133017444403,1.759353549188687,0.0015423014764735,3.518798410735101e-17,0.8919503782307361,0.953413618257452,0.775744794750325,2.380393731418441e-07,1.2103188686623698,1.01866189575e-06,1.8400245042068678e-05,0.1253870049146138,0.0003237451840656,0.8019029370415713,0.7449938492730167,0.9657277154206504,0.0490663332112082,1.056134433953645,0.9958279843023428,0.867360787342395,0.0545731511926516,1.7672860219506163,0.3767997440286973,0.9139311852712282,0.6249596349596477,0.3291932866685838,0.0004709357037077,1.6160485206687158,0.913931185271228,0.3279905889298261,0.0217005244461133,0.6075808166860293,2.3803937314183522e-07,2.380393731418352e-07,1.119980438853145,0.9129702048300832
